title,id,date_added,artists,artist_id,artist_genre,album,album_id,album_date,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
16,2wGfZBcArmMVrd4iUEDuF3,2020-06-19T14:34:42Z,Highly Suspect,2pqd3HsfsvcBGtHvPOg6eg,modern alternative rock,16,2fyUUI6qFR57zGMRX84EB0,2019-08-16,0.00102,0.644,278693,0.627,1.18e-05,2,0.0638,-5.226,1,0.0409,91.971,4,https://api.spotify.com/v1/tracks/2wGfZBcArmMVrd4iUEDuF3,audio_features,spotify:track:2wGfZBcArmMVrd4iUEDuF3,0.188
The Way It Was,5Fs9DJEuCAJxPePDJ0qmRS,2020-06-19T14:33:08Z,The Killers,0C0XlULifJtAgn6ZNCW2eu,modern rock,Direct Hits,3T5bbO2BOnnjun6jKhJdjV,2013-01-01,0.0102,0.666,232307,0.809,2.23e-05,1,0.0717,-4.969,0,0.025,105.993,4,https://api.spotify.com/v1/tracks/5Fs9DJEuCAJxPePDJ0qmRS,audio_features,spotify:track:5Fs9DJEuCAJxPePDJ0qmRS,0.508
You Know Me Too Well,1BpmL4NBhX2P7GxuoVtojI,2020-06-19T13:38:53Z,Nothing But Thieves,1kDGbuxWknIKx4FlgWxiSp,alternative pop rock,What Did You Think When You Made Me This Way?,6qP4UnWRNlBMdsqanPhFuJ,2018-10-19,0.00122,0.605,233485,0.688,0.0036,11,0.277,-5.042,0,0.0325,135.936,4,https://api.spotify.com/v1/tracks/1BpmL4NBhX2P7GxuoVtojI,audio_features,spotify:track:1BpmL4NBhX2P7GxuoVtojI,0.773
The Way It Was,2ST5UpeYPp2EAgGLbQsXvl,2020-06-19T13:22:58Z,The Killers,0C0XlULifJtAgn6ZNCW2eu,modern rock,Battle Born (Deluxe Edition),7cuwIlQNnnwVlfosv2Zm6U,2012-09-17,0.0104,0.661,231160,0.8,1.73e-05,1,0.0738,-4.998,0,0.0246,105.993,4,https://api.spotify.com/v1/tracks/2ST5UpeYPp2EAgGLbQsXvl,audio_features,spotify:track:2ST5UpeYPp2EAgGLbQsXvl,0.51
Oh Devil,1kcfGBb6kSrGqNIMW7rAlB,2020-06-14T22:43:18Z,Electric Guest,7sgWBYtJpblXpJl2lU5WVs,alternative dance,Plural,4ncZdrGiO459vrUU1yYCCA,2017-02-17,0.122,0.903,217587,0.532,0.0345,7,0.176,-7.188,0,0.0593,96.991,4,https://api.spotify.com/v1/tracks/1kcfGBb6kSrGqNIMW7rAlB,audio_features,spotify:track:1kcfGBb6kSrGqNIMW7rAlB,0.701
Come with Me Now,2kWowW0k4oFymhkr7LmvzO,2020-06-12T03:37:46Z,KONGOS,58R5LHkK3vkmEyGUPOR5kS,modern alternative rock,Lunatic,71C65HI7THrlkpHHa24YJX,2014-01-27,0.0311,0.654,211960,0.726,6.35e-05,10,0.0618,-3.803,0,0.0401,103.987,4,https://api.spotify.com/v1/tracks/2kWowW0k4oFymhkr7LmvzO,audio_features,spotify:track:2kWowW0k4oFymhkr7LmvzO,0.728
Rearrange Us,6M7VWjQnVsSCTifhHJGKpG,2020-06-10T19:22:55Z,Mt. Joy,69tiO1fG8VWduDl3ji2qhI,indie folk,Rearrange Us,6l6ThHfDJ8Ja5uunao40so,2019-10-16,0.657,0.794,187335,0.5,0.0292,9,0.106,-7.215,1,0.0274,98.969,4,https://api.spotify.com/v1/tracks/6M7VWjQnVsSCTifhHJGKpG,audio_features,spotify:track:6M7VWjQnVsSCTifhHJGKpG,0.455
Holy Ghost,5ho74ZlMvEbyhFutCd8SGg,2020-06-05T14:15:07Z,BØRNS,1KP6TWI40m7p3QBTU6u2xo,electropop,Dopamine,17l7MIu0Jh0tdgK7or9ovw,2015-10-16,0.00153,0.591,256653,0.874,1.45e-05,6,0.0602,-4.224,0,0.0562,89.998,4,https://api.spotify.com/v1/tracks/5ho74ZlMvEbyhFutCd8SGg,audio_features,spotify:track:5ho74ZlMvEbyhFutCd8SGg,0.775
I Don't Want U Back,33KdjUuILigAedfZLLvyQQ,2020-06-05T14:12:54Z,BØRNS,1KP6TWI40m7p3QBTU6u2xo,electropop,Blue Madonna,0mzh0tCNFhxE2mSWxB4ufh,2018-01-12,0.133,0.62,230943,0.652,0.11,8,0.0462,-5.404,1,0.0438,86.003,4,https://api.spotify.com/v1/tracks/33KdjUuILigAedfZLLvyQQ,audio_features,spotify:track:33KdjUuILigAedfZLLvyQQ,0.54
Sweet Dreams,0lgScP4Sc9teQbV8TBJac6,2020-06-01T16:01:22Z,BØRNS,1KP6TWI40m7p3QBTU6u2xo,electropop,Blue Madonna,0mzh0tCNFhxE2mSWxB4ufh,2018-01-12,0.0427,0.623,199767,0.534,8.24e-05,11,0.119,-6.678,1,0.0315,91.997,4,https://api.spotify.com/v1/tracks/0lgScP4Sc9teQbV8TBJac6,audio_features,spotify:track:0lgScP4Sc9teQbV8TBJac6,0.387
