danceability, energy, key, loudness, mode, speechiness, acousticness, instrumentalness, liveness, valence, tempo, type, id, uri, track_href, analysis_url, duration_ms, time_signature
0.341,0.316,1,-8.922,0,0.0335,0.886,1.23e-05,0.104,0.168,80.283,audio_features,1K952dIJs92DBiM8swaJyv,spotify:track:1K952dIJs92DBiM8swaJyv,https://api.spotify.com/v1/tracks/1K952dIJs92DBiM8swaJyv,https://api.spotify.com/v1/audio-analysis/1K952dIJs92DBiM8swaJyv,253000,4
0.482,0.0591,0,-23.883,0,0.0355,0.846,0.81,0.126,0.56,74.062,audio_features,6a5ZNV93tio9TcEYYUYlxh,spotify:track:6a5ZNV93tio9TcEYYUYlxh,https://api.spotify.com/v1/tracks/6a5ZNV93tio9TcEYYUYlxh,https://api.spotify.com/v1/audio-analysis/6a5ZNV93tio9TcEYYUYlxh,78027,4
0.2,0.984,7,-5.351,1,0.115,3.11e-06,0.606,0.403,0.215,110.819,audio_features,4sxTuxIUm8WPlgfTGYTWno,spotify:track:4sxTuxIUm8WPlgfTGYTWno,https://api.spotify.com/v1/tracks/4sxTuxIUm8WPlgfTGYTWno,https://api.spotify.com/v1/audio-analysis/4sxTuxIUm8WPlgfTGYTWno,159587,3
0.338,0.199,10,-15.672,1,0.037,0.926,0.671,0.111,0.326,118.935,audio_features,67rDatszdtEXHbTGxNBEKG,spotify:track:67rDatszdtEXHbTGxNBEKG,https://api.spotify.com/v1/tracks/67rDatszdtEXHbTGxNBEKG,https://api.spotify.com/v1/audio-analysis/67rDatszdtEXHbTGxNBEKG,199987,4
0.533,0.644,9,-13.123,1,0.0308,0.0247,0.571,0.126,0.46,99.066,audio_features,6SRja2wplZLMLg6HGuwF4J,spotify:track:6SRja2wplZLMLg6HGuwF4J,https://api.spotify.com/v1/tracks/6SRja2wplZLMLg6HGuwF4J,https://api.spotify.com/v1/audio-analysis/6SRja2wplZLMLg6HGuwF4J,279360,4
0.717,0.8,1,-4.925,1,0.281,0.0547,0.0,0.623,0.755,87.954,audio_features,0vLcs1V23PTkpEGvzUzYXz,spotify:track:0vLcs1V23PTkpEGvzUzYXz,https://api.spotify.com/v1/tracks/0vLcs1V23PTkpEGvzUzYXz,https://api.spotify.com/v1/audio-analysis/0vLcs1V23PTkpEGvzUzYXz,259306,4
0.236,0.964,0,-4.993,1,0.0935,0.00115,1.93e-06,0.125,0.764,185.157,audio_features,4QL6epCx6rlUbDG4TF3sj9,spotify:track:4QL6epCx6rlUbDG4TF3sj9,https://api.spotify.com/v1/tracks/4QL6epCx6rlUbDG4TF3sj9,https://api.spotify.com/v1/audio-analysis/4QL6epCx6rlUbDG4TF3sj9,215179,4
0.4,0.375,4,-13.523,0,0.0318,0.0631,0.000625,0.0766,0.449,173.816,audio_features,6y2T64odZgtD1l4BGbhGSk,spotify:track:6y2T64odZgtD1l4BGbhGSk,https://api.spotify.com/v1/tracks/6y2T64odZgtD1l4BGbhGSk,https://api.spotify.com/v1/audio-analysis/6y2T64odZgtD1l4BGbhGSk,313671,4
0.141,0.604,0,-4.989,1,0.0401,2.28e-06,0.821,0.145,0.0987,145.827,audio_features,0XYWeTB6GMR1VPNRUFe2ID,spotify:track:0XYWeTB6GMR1VPNRUFe2ID,https://api.spotify.com/v1/tracks/0XYWeTB6GMR1VPNRUFe2ID,https://api.spotify.com/v1/audio-analysis/0XYWeTB6GMR1VPNRUFe2ID,580707,4
0.46,0.131,2,-19.237,1,0.0383,0.133,0.317,0.109,0.0803,80.219,audio_features,4i8y386z9LN3XyzQnsArdQ,spotify:track:4i8y386z9LN3XyzQnsArdQ,https://api.spotify.com/v1/tracks/4i8y386z9LN3XyzQnsArdQ,https://api.spotify.com/v1/audio-analysis/4i8y386z9LN3XyzQnsArdQ,232947,4
0.629,0.914,1,-2.735,0,0.0773,0.00713,0.000754,0.0695,0.699,149.947,audio_features,0SrgfXN8OsGMQpVp9qRLoS,spotify:track:0SrgfXN8OsGMQpVp9qRLoS,https://api.spotify.com/v1/tracks/0SrgfXN8OsGMQpVp9qRLoS,https://api.spotify.com/v1/audio-analysis/0SrgfXN8OsGMQpVp9qRLoS,136733,4
0.327,0.0272,1,-23.95,0,0.0577,0.996,0.475,0.079,0.73,61.564,audio_features,1CCVjsPdB1hz3DLy9RWggj,spotify:track:1CCVjsPdB1hz3DLy9RWggj,https://api.spotify.com/v1/tracks/1CCVjsPdB1hz3DLy9RWggj,https://api.spotify.com/v1/audio-analysis/1CCVjsPdB1hz3DLy9RWggj,146333,4
