artist_id,artist_name,genre,id,name,release_date
67ea9eGLXYMsO2eYQRui3w,The Who,Rock,3qiyyUfYe7CRYLucrPmulD,Baba O'Riley,1971-08-14
2cnMpRsOVqtPMfq7YiFE6K,Van Halen,Rock,7N3PAbqfTjSEU1edb2tY8j,Jump - 2015 Remaster,1984-01-04
29kkCKKGXheHuoO829FxWK,Boston,Rock,1QEEqeFIZktqIpPI4jSVSF,More Than a Feeling,1976
4tX2TplrkIP4v05BNC903e,Tom Petty and the Heartbreakers,Rock,7MRyJPksH3G2cXHN8UKYzP,American Girl,1976-11-09
4MVyzYMgTwdP7Z49wAZHx0,Lynyrd Skynyrd,Rock,7e89621JPkKaeDSTQ3avtg,Sweet Home Alabama,1974-04-15
6QtGlUje9TIkLrgPZrESuk,Steve Miller Band,Rock,1bp2IO61zbQrbWNmKKxg3f,The Joker,1973-01-01
74oJ4qxwOZvX6oSsu1DGnw,Cream,Rock,6FRwDxXsvSasw0y2eDArsz,Sunshine Of Your Love,1967-11-02
6DCIj8jNaNpBz8e5oKFPtp,The Cars,Rock,2lFFiNm0XtgJ6wkdncTB4k,Drive - 2017 Remaster,1984
36QJpDe2go2KgaRleHCDTp,Led Zeppelin,Rock,5CQ30WqJwcep0pYcV4AMNc,Stairway to Heaven - Remaster,1971-11-08
5krkohEVJYw0qoB5VWwxaC,The Black Crowes,Rock,05NYcsjJwOYq4jIiKPVj9p,Hard To Handle,1990-02-13
1LB8qB5BPb3MHQrfkvifXU,Cheap Trick,Rock,1JkZg3eMQTmTn93E8Yd3UL,I Want You to Want Me,1977-09
2AM4ilv6UzW0uMRuqKtDgN,ZZ Top,Rock,70YvYr2hGlS01bKRIho1HM,La Grange - 2005 Remaster,1973-07-26
00tVTdpEhQQw1bqdu8RCx2,Blue Öyster Cult,Rock,5QTxFnGygVM4jFQiBovmRo,(Don't Fear) The Reaper,1976
568ZhdwyaiCyOGJRtNYhWf,Deep Purple,Rock,5MMnwYs0hIxkENRsbkWJ2G,Smoke On The Water - Remastered 2012,1972-03-25
3EhbVgyfGd7HkpsagwL9GS,Alice Cooper,Rock,5XcZRgJv3zMhTqCyESjQrF,Poison,1989-07-25
6biWAmrHyiMkX49LkycGqQ,Thin Lizzy,Rock,43DeSV93pJPT4lCZaWZ6b1,The Boys Are Back In Town,1976
34jw2BbxjoYalTp8cJFCPv,Heart,Rock,4KfSdst7rW39C0sfhArdrz,Barracuda,1977-05-14
5xUf6j4upBrXZPg6AI4MRK,Soundgarden,Rock,7fURZRPkB2S70sYR1naKTK,Black Hole Sun,1994-01-01
2UZMlIwnkgAEDBsw1Rejkn,Tom Petty,Rock,5tVA6TkbaAH9QMITTQRrNv,Free Fallin',1989-01-01
4F84IBURUo98rz4r61KF70,The White Stripes,Rock,3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,2003-04-01
776Uo845nYHJpNaStv1Ds4,Jimi Hendrix,Rock,2aoo2jlRnM3A0NyLQqMN2f,All Along the Watchtower,1968-10-25
49DW3KvkyjHO35mK1JnSyS,The Cult,Rock,3qLZ866ZfaK0B0R5FIqXLG,She Sells Sanctuary,1985-10-18
5AEG63ajney2BoDXi0Vb84,Bad Company,Rock,3KPwt1LBpt1jVSHz8GXERo,Feel like Makin' Love - 2015 Remaster,1975
6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne,Rock,7ACxUo21jtTHzy7ZEV56vU,Crazy Train,2020-09-18
5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,Rock,1jzDzZWeSDBg5fhNc3tczV,Paranoid,1970-09-18
2Hkut4rAAyrQxRdof7FVJq,Rush,Rock,3QZ7uX97s82HFYSmQUAN1D,Tom Sawyer,1981-02-12
2UazAtjfzqBF0Nho2awK4z,Stone Temple Pilots,Rock,6qLEOZvf5gI7kWE63JE7p3,Interstate Love Song - 2019 Remaster,1994-06-07
5bDxAyJiTYBat1YnFJhvEK,Joe Walsh,Rock,2wvMC5EyaaYQwBfiwwY2xE,Life's Been Good,1978-06-01
21ysNsPzHdqYN2fQ75ZswG,Ted Nugent,Rock,2f0P7iELCvAlV8j6Z3rGDE,Stranglehold,1975
5q4AzEtCoYJyXjMMoEkSU5,Bachman-Turner Overdrive,Rock,0HOrDVS349XFcpCYsO2hAP,You Ain't Seen Nothing Yet,1974
1SQRv42e4PjEYfPhS0Tk9E,The Kinks,Rock,29SyMC0plk6qw8NMF7lfRL,You Really Got Me - Mono Mix,1964-10-02
39T6qqI0jDtSWWioX8eGJz,The Doobie Brothers,Rock,7Ar4G7Ci11gpt6sfH9Cgz5,Listen to the Music,1972
4wo1267SJuUfHgasdlfNfc,The Raconteurs,Rock,2i37Y95xkPhHtoYBywVBUm,Steady as She Goes,2006
4pejUc4iciQfgdX6OKulQn,Queens of the Stone Age,Rock,6y20BV5L33R8YXM0YuI38N,No One Knows,2002-01-01
7MhMgCo0Bl0Kukl93PZbYS,Blur,Rock,1FTSo4v6BOZH9QxKc3MbVM,Song 2 - 2012 Remaster,1997-02-10
7lzordPuZEXxwt9aoVZYmG,Billy Idol,Rock,4TIJ7zSBNejpoIPaWpWRKc,Rebel Yell,1983-11-01
7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,Rock,6lEuFGrUqR9Yc6hSsHPnYP,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",1998-08-18
6SLAMfhOi7UJI0fMztaK0m,Rainbow,Rock,6xq5DxZWGgdStAxGAil0yw,Since You Been Gone,1979-01-01
3lPQ2Fk5JOwGWAF3ORFCqH,John Mellencamp,Rock,43btz2xjMKpcmjkuRsvxyg,Jack & Diane,1982
6IRouO5mvvfcyxtPDKMYFN,Foreigner,Rock,1JLn8RhQzHz3qDqsChcmBl,I Want to Know What Love Is - 1999 Remaster,1984-12-12
3Fz2GbraVXhcpXnoi2Oe1r,Billy Squier,Rock,52KvuGmgcgRdrLMXOtda0E,The Stroke - Remastered,1981
4KWTAlx2RvbpseOGMEmROg,R.E.M.,Rock,31AOj9sFz2gM0O3hMARRBx,Losing My Religion,1991-03-12
4wQ3PyMz3WwJGI5uEqHUVR,Allman Brothers Band,Rock,1hHGUdFaiJHw9hVZGJWYO2,Midnight Rider,1970-09-18
0qEcf3SFlpRcb3lK3f2GZI,Grand Funk Railroad,Rock,1cU34sZG9kF4FYHCoAD0Ib,Some Kind Of Wonderful - Remastered 1999,1999-01-01
5NGO30tJxFlKixkPSgXcFE,The Police,Rock,1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,1983-06-17
7CHilrn81OdYjkh4uSVnYM,Velvet Revolver,Rock,7kF1iPJTj3VFJX9XokQ80F,Slither,2004
3UbyYnvNIT5DFXU4WgiGpP,Whitesnake,Rock,6Nd6ntkzr4t8o1FKPGOSMt,Here I Go Again - 2018 Remaster,1987
0GByy3DcfbQwDvXGCWmzv9,Pretenders,Rock,3Nf8oGn1okobzjDcFCvT6n,I'll Stand by You,1994-06-01
7FIoB5PHdrMZVC3q2HE5MS,George Harrison,Rock,0qdQUeKVyevrbKhAo0ibxS,My Sweet Lord - Remastered 2014,1970-11-27
69Mj3u4FTUrpyeGNSIaU6F,The J. Geils Band,Rock,1ynmMEK1fkyiZ6Z6F3ThEt,Centerfold,1981
1OwarW4LEHnoep20ixRA0y,Robert Plant,Rock,7257drAN3eTtaaUUPw95B3,Big Log - 2006 Remaster,1983
1WRM9i067hd2ujxxi8FI3m,Steppenwolf,Rock,63OFKbMaZSDZ4wtesuuq6f,Born To Be Wild,1968
4salDzkGmfycRqNUbyBphh,Styx,Rock,1CQqupcyMg7176PPmIVmSj,Renegade,1978-01-01
4Tw2N3wdvJPGEU7JqMxFfE,Eddie Money,Rock,7b4yGtR0rujvLi5EBfKKJ2,Take Me Home Tonight,1986-10-15
0543y7yrvny4KymoaneT4W,Peter Frampton,Rock,6BD1X1PeV5UzYUdiVaD2yL,Show Me The Way,1975-01-01
07XSN3sPlIlB2L2XNcTwJw,KISS,Rock,07q0QVgO56EorrSGHC48y3,I Was Made For Lovin' You,1979-03-23
3v4feUQnU3VEUqFrjmtekL,Faces,Rock,4lJ6YVXQ0jUk5ILu0PSrA4,Ooh La La,1973
2ziB7fzrXBoh1HUPS6sVFn,Audioslave,Rock,2xt2piJx6jlFkjS77YiqpL,Like a Stone,2002
1hXjTjJzZTXDZ75AclOo6N,Sammy Hagar,Rock,1XxUDJp9zsjd6tBSvE3la4,Heavy Metal,1981-01-01
64tNsm6TnZe2zpcMVMOoHL,Alice In Chains,Rock,6gZVQvQZOFpzIy3HblJ20F,Man in the Box,1990-08-01
4n31svBA9GGIYxGxgrQaRK,George Thorogood & The Destroyers,Rock,6s0NHplywwr1IjnQpUpWJk,Bad To The Bone,1982-01-01
4opTS86dN9uO313J9CE8xg,Skid Row,Rock,0qgrrDnUUhyxpxbBznUnzg,18 and Life,1989-01-24
1dLWg6m8RRhizsdqJbhyj3,Quiet Riot,Rock,3vV3cr2TpPqFk07zxYUbla,Cum on Feel the Noize,1983
22WZ7M8sxp5THdruNY3gXt,The Doors,Rock,14XWXWv5FoCbFzLksawpEe,Riders on the Storm,1971-04-19
3RGLhK1IP9jnYFH4BRFJBS,The Clash,Rock,39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,1982
2hl0xAkS2AIRAu23TVMBG1,Kansas,Rock,6zeE5tKyr8Nu882DQhhSQI,Dust in the Wind,1977
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,Rock,63T7DJ1AFDD6Bn8VzG6JE8,Paint It Black,1966-04-15
1w5Kfo2jwwIPruYS2UWh56,Pearl Jam,Rock,1L94M3KIu7QluZe63g64rv,Alive,1991-08-27
02NfyD6AlLA12crYzw5YcR,Jane's Addiction,Rock,7c1Dar0pIAW7w5TzaGjt9t,Jane Says,1988-08-23
2tRsMl4eGxwoNabM08Dm4I,Judas Priest,Rock,2RaA6kIcvomt77qlIgGhCT,Breaking the Law,1980
5sD1ZLf2dGQ9gQ3YJl1eAd,Blind Melon,Rock,6txWz9UapYHVxEd7dDIHXT,No Rain,1992-01-01
4CYeVo5iZbtYGBN4Isc3n6,Dio,Rock,54yLLvpezvPO1lA3GspiZj,Holy Diver,1983
78SHxLdtysAXgywQ4vE0Oa,Bush,Rock,5buITai6eMzU8rJonMEI6e,Glycerine - Remastered,1994-12-06
6GbCJZrI318Ybm8mY36Of5,Faith No More,Rock,4ReyTz0y3TGkX48wO3Llot,Epic,1989
3dBVyJ7JuOMt4GE9607Qin,T. Rex,Rock,0LoQuiekvzqx7n8flgEKzF,Get It On,1971-09-24
7mnBLXK823vNxN3UWB7Gfz,The Black Keys,Rock,5G1sTBGbZT5o4PNRc75RKI,Lonely Boy,2011-12-06
40Yq4vzPs9VNUrIBG5Jr2i,The Smashing Pumpkins,Rock,5QLHGv0DfpeXLNFo7SFEy1,1979 - Remastered 2012,1995
6P7H3ai06vU1sGvdpBwDmE,Steely Dan,Rock,1I7zHEdDx8Ny5RxzYPqsU2,Reelin' In The Years,1972-01-01
0cQuYRSzlItquYxsQKDvVc,The Guess Who,Rock,3LQPTJEqOfljGBxmpgUnoC,American Woman,1970-01-01
1PCZpxHJz7WAMF8EEq8bfc,The Byrds,Rock,5qBqBdfTEIWJwAS0Jm2F5R,Turn! Turn! Turn! (To Everything There Is a Season),1965-12-06
4vpDg7Y7fU982Ds30zawDA,The Band,Rock,0P7DoyGrr4Wp9w5TotEtUC,The Weight - Remastered,1968-07-01
485uL27bPomh29R4JmQehQ,Bob Seger,Rock,5EOoMWIB9iK4ZpcSex9Ec7,Old Time Rock & Roll,1978-05-05
6v8FB84lnmJs434UJf2Mrm,Neil Young,Rock,1Q1b8eVkUPGlpSArl8JAVw,Heart of Gold - 2009 Remaster,1972-02-14
2rc78XDH9zuJP6bm78lU8Z,Derek & The Dominos,Rock,2kkvB3RNRzwjFdGhaUA0tz,Layla,1970-11-01
2pdvghEHZJtgSXZ7cvNLou,Crosby Stills & Nash,Rock,1UKobFsdqNXQb8OthimCKe,Helplessly Hoping - 2005 Remaster,1969-05-29
1CYsQCypByMVgnv17qsSbQ,Crosby Stills Nash & Young,Rock,2hitsKa8SthKhRJBXUHbIv,Our House,1970-03-11
55vs7NT1KxcFjbMC4y202E,REO Speedwagon,Rock,5WwqdeavrQrbeAMDxGawse,Can't Fight This Feeling,1984-11-05
4e5V1Q2dKCzbLVMQ8qbTn6,Collective Soul,Rock,6emdJW80SbDBMuHci8PJJn,Shine,1994-03-22
6x33CmZWo2Ve4hxYl2Craq,Foghat,Rock,4MYb7NWLwXNDB7bYs3HeX8,Slow Ride,1975
6zvul52xwTWzilBZl6BUbT,Pixies,Rock,7wCmS9TTVUcIhRalDYFgPy,Where Is My Mind? - Remastered,1988-03-21
1DFr97A9HnbV3SKTJFu62M,Motörhead,Rock,6EPRKhUOdiFSQwGBRBbvsZ,Ace of Spades,1980-11-08
3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,Rock,7o2CTH4ctstm8TNelqjb51,Sweet Child O' Mine,1987-07-21
5dbuFbrHa1SJlQhQX9OUJ2,Don Henley,Rock,4gvea7UlDkAvsJBPZAd4oB,The Boys Of Summer,1984-01-01
3yEnArbNHyTCwMRvD9SBy4,Wolfmother,Rock,6dNJ3lasVLPd0078T9yqlm,Joker And The Thief,2005-01-01
0rvjqX7ttXeg3mTy8Xscbt,Journey,Rock,4bHsxqR3GMrXTxEPLuK5ue,Don't Stop Believin',1981
1nJvji2KIlWSseXRSlNYsC,The Velvet Underground,Rock,11VwZwNF29HrqwalYUMitb,Pale Blue Eyes,1969
3zXw2Eh96iTT51pytzHdZi,38 Special,Rock,6i9dZZQWNB06HKsQYKTiPF,Hold On Loosely,1980-01-01
3sFhA6G1N0gG1pszb6kk1m,Wings,Rock,1H4idkmruFoJBg1DvUv2tY,Band On The Run - Remastered 2010,1973-12-05
7b85ve82Sh36a3UAx74wut,Twisted Sister,Rock,1hlveB9M6ijHZRbzZ2teyh,We're Not Gonna Take It,1984-05-10
7jy3rLJdDQY21OgRLCZ9sD,Foo Fighters,Rock,5UWwZ5lm5PKu6eKsHAGxOk,Everlong,1997-05-20
2Omy3P5hFZym7FKum1JA1s,UFO,Rock,5Okf7KBikV8we3uqCMFjiL,Doctor Doctor - 2007 Remaster,1974-01-01
3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival,Rock,4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,1969-11-02
