acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,arstist_id,artist_name,name
0.418,0.841,162803.0,0.593,5uEYRdEIh9Bo4fpjDd4Na9,0.0,1.0,0.124,-7.846,1.0,0.0379,124.917,4.0,0.808,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,Goosebumps - Remix
0.321,0.677,198082.0,0.696,4iJyoBOLtHqaGxP12qzhQI,0.0,0.0,0.42,-6.181,1.0,0.119,90.03,4.0,0.464,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,Peaches (feat. Daniel Caesar & Giveon)
0.185,0.601,153190.0,0.741,6I3mqTwhRpn34SLVafSH7G,2.91e-05,2.0,0.415,-5.569,1.0,0.0478,153.96,4.0,0.441,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,Ghost
0.0847,0.841,243837.0,0.728,6gBFPUFcJLzWGx4lenP6h2,0.0,7.0,0.149,-3.37,1.0,0.0484,130.049,4.0,0.43,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,goosebumps
0.345,0.832,132833.0,0.534,1VLtjHwRWOVJiE5Py7JxoQ,0.0,1.0,0.165,-7.813,0.0,0.253,93.924,4.0,0.116,6AgTAQt8XS6jRWi4sX7w49,Polo G,Martin & Gina
0.21,0.448,208907.0,0.838,45S5WTQEGOB1VHr1Q4FuPl,0.000131,4.0,0.131,-5.257,0.0,0.0557,139.863,4.0,0.254,6KImCVD70vtIoJWnq6nGn3,Harry Styles,Golden
0.0769,0.671,165820.0,0.529,4VXIryQMWpIdGgYR4TrjT1,0.000335,0.0,0.0856,-7.226,1.0,0.307,161.989,4.0,0.203,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,All Girls Are The Same
0.316,0.755,176960.0,0.578,1IIKrJVP1C9N7iPtG6eOsK,0.0,0.0,0.25,-8.932,0.0,0.145,94.148,4.0,0.581,7bXgB6jMjp9ATFy66eO08Z,Chris Brown,Go Crazy
0.0319,0.722,165507.0,0.588,1diS6nkxMQc3wwC4G1j0bh,0.0,6.0,0.183,-5.932,1.0,0.0544,134.01,4.0,0.59,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,We're Good
0.145,0.808,210800.0,0.745,7FIWs0pqAYbP91WWM0vlTQ,0.0,10.0,0.292,-5.26,0.0,0.342,165.995,4.0,0.829,7dGJo4pcD2V6oG8kP0tJRR,Eminem,Godzilla (feat. Juice WRLD)
0.519,0.879,243463.0,0.574,2HYvkdq6lpFXkVz9Tfqi8r,8.76e-06,10.0,0.144,-5.602,0.0,0.391,144.911,4.0,0.346,1gPhS1zisyXr5dHTYZyiMe,Kevin Gates,Big Gangsta
0.157,0.487,181688.0,0.74,2rPHUAeUPbNgTmK18FPTiZ,0.0,6.0,0.612,-4.973,1.0,0.0944,73.779,4.0,0.522,2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,GO (feat. Juice WRLD)
0.524,0.449,198371.0,0.465,3FAJ6O0NOHQV8Mc5Ri6ENp,1.02e-06,0.0,0.303,-8.964,1.0,0.0791,89.087,3.0,0.543,4fxd5Ee7UefO4CUXgwJ7IP,Giveon,Heartbreak Anniversary
0.0206,0.965,222523.0,0.485,1zLBsSVxETQOfINOLYvT5m,0.0237,2.0,0.0655,-8.784,1.0,0.191,124.025,4.0,0.312,1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,GIRL LIKE ME
0.173,0.539,214693.0,0.615,6u3CPnFMKANYgfdiifFOiJ,0.0056,1.0,0.144,-8.746,0.0,0.252,163.924,4.0,0.493,3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,"Gravity (feat. Tyler, The Creator)"
0.235,0.748,144533.0,0.551,472vIK1ldetTxRxG3ovaiY,0.0,11.0,0.119,-6.12,1.0,0.0349,103.953,4.0,0.66,7z5WFjZAIYejWy0NI5lv4T,Dan + Shay,Glad You Exist
0.369,0.614,234347.0,0.68,6foY66mWZN0pSRjZ408c00,1.84e-06,6.0,0.115,-4.58,1.0,0.0289,149.959,4.0,0.707,4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,Whiskey Glasses
0.259,0.889,180522.0,0.496,2IRZnDFmlqMuOrYOLnZZyc,0.0,4.0,0.252,-6.365,0.0,0.0905,86.003,4.0,0.544,20sxb77xiYeusSH8cVdatc,Meek Mill,Going Bad (feat. Drake)
0.659,0.753,116256.0,0.659,1A8990rtwHQ417l3yADe5t,0.0,8.0,0.098,-9.671,1.0,0.416,146.022,4.0,0.459,6AgTAQt8XS6jRWi4sX7w49,Polo G,GNF (OKOKOK)
0.125,0.782,188344.0,0.559,2mt1IqcFyY1zmYZT8Q3xw9,0.0,6.0,0.385,-7.106,0.0,0.0767,129.992,1.0,0.685,2cFrymmkijnjDg9SS92EPM,blackbear,hot girl bummer
0.422,0.658,278180.0,0.294,7zFXmv6vqI4qOt4yGf3jYZ,5.2e-05,4.0,0.0749,-8.533,0.0,0.0321,74.038,4.0,0.358,20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,Get You (feat. Kali Uchis)
0.0743,0.695,218902.0,0.343,35RJhm1pEovTBwnNR0zWad,1.04e-06,5.0,0.107,-10.798,1.0,0.0432,85.84,4.0,0.229,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,GREECE (feat. Drake)
0.00471,0.779,192804.0,0.705,7eX3um6NpOQKWJMGCi97XD,0.0,6.0,0.0971,-5.891,0.0,0.163,140.005,4.0,0.196,5f7VJjfbwm532GiveGC0ZK,Lil Baby,Real As It Gets (feat. EST Gee)
0.00815,0.688,164580.0,0.647,25zlnOAzbVoOzIeXSvQFf1,1.65e-05,2.0,0.095,-7.258,1.0,0.19,88.834,4.0,0.195,0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,Got It On Me
0.237,0.83,173711.0,0.585,6Im9k8u9iIzKMrmV7BWtlF,0.0,0.0,0.248,-6.476,1.0,0.094,109.978,4.0,0.485,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,34+35
0.0332,0.754,198973.0,0.449,6DCZcSspjsKoFjzjrWoCdn,8.29e-05,7.0,0.552,-9.211,1.0,0.109,77.169,4.0,0.357,3TVXtAsR1Inumwj472S9r4,Drake,God's Plan
0.468,0.737,172325.0,0.802,35mvY5S1H3J2QZyna3TFe0,0.0,0.0,0.0931,-4.771,1.0,0.0878,144.015,4.0,0.682,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,positions
0.72,0.498,179080.0,0.235,4ZLzoOkj0MPWrTLvooIuaa,0.0,1.0,0.144,-16.541,0.0,0.188,118.917,4.0,0.0895,4qIVPF0s71ZYW3qzhu5GkF,Kina,Get You The Moon (feat. Snøw)
0.0277,0.92,165726.0,0.833,4PklAHGXT5ityno3IA8SKd,0.0,1.0,0.0596,-3.18,1.0,0.253,141.034,4.0,0.645,6AgTAQt8XS6jRWi4sX7w49,Polo G,Go Stupid
0.328,0.701,194088.0,0.425,2Fxmhks0bxGSBdJ92vM42m,0.13,7.0,0.1,-10.965,1.0,0.375,135.128,4.0,0.562,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,bad guy
0.821,0.739,146390.0,0.522,4vHNeBWDQpVCmGbaccrRzi,0.00124,7.0,0.233,-12.304,0.0,0.151,138.263,4.0,0.619,4iMO20EPodreIaEl8qW66y,Still Woozy,Goodie Bag
0.0758,0.809,144349.0,0.638,6cQ08IpBxxfGcSKxqE3NmB,0.0,1.0,0.15,-7.268,0.0,0.257,117.982,4.0,0.392,6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,Headshot (feat. Polo G & Fivio Foreign)
0.621,0.512,178147.0,0.58,4TCc369aRPRubv1m8R1TBG,1.72e-05,3.0,0.513,-6.658,0.0,0.029,159.847,3.0,0.303,3FfvYsEGaIb52QPXhg4DcH,Jason Aldean,Got What I Got
0.931,0.421,177922.0,0.0952,34xTFwjPQ1dC6uJmleno7x,0.000201,6.0,0.126,-12.561,1.0,0.0479,109.698,4.0,0.0773,2h93pZq0e7k5yf4dywlkpM,Frank Ocean,Godspeed
0.0174,0.311,168086.0,0.607,2pn8dNVSpYnAtlKFC8Q0DJ,0.0,1.0,0.131,-6.578,1.0,0.11,188.7,4.0,0.286,3eVa5w3URK5duf6eyVDbu9,ROSÉ,On The Ground
0.456,0.548,174853.0,0.653,0t3ZvGKlmYmVsDzBJAXK8C,0.0,5.0,0.103,-3.875,1.0,0.081,150.068,4.0,0.163,246dkjvS1zLTtiykXe5h60,Post Malone,Goodbyes (feat. Young Thug)
0.0969,0.573,271387.0,0.545,7vgTNTaEz3CsBZ1N4YQalM,0.0,7.0,0.329,-4.247,0.0,0.0288,83.378,4.0,0.297,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,Ghost Town
0.146,0.706,223253.0,0.558,2tJulUYLDKOg9XrtVkMgcJ,0.0,2.0,0.118,-7.237,0.0,0.0593,110.443,4.0,0.227,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,Grenade
0.0706,0.676,237735.0,0.609,5yY9lUy8nbvjM1Uyo1Uqoc,0.0,2.0,0.152,-5.831,0.0,0.481,142.037,4.0,0.508,1RyvyyTE3xzB2ZywiAwp0i,Future,Life Is Good (feat. Drake)
0.0159,0.718,213107.0,0.691,6ihL9TjfRjadfEePzXXyVF,0.0,4.0,0.0627,-6.44,1.0,0.0387,100.008,4.0,0.552,3vAaWhdBR38Q02ohXqaNHT,The All-American Rejects,Gives You Hell
0.00473,0.731,139461.0,0.675,7kDUspsoYfLkWnZR7qwHZl,0.0,5.0,0.141,-5.134,0.0,0.0434,124.939,4.0,0.298,6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,my ex's best friend (with blackbear)
0.107,0.731,177847.0,0.65,6cjSh516BbrNUs213jDAGm,0.0,0.0,0.124,-5.286,1.0,0.271,154.968,4.0,0.605,5CiGnKThu5ctn9pBxv7DGa,benny blanco,Graduation (with Juice WRLD)
0.629,0.735,220488.0,0.449,4wVOKKEHUJxHCFFNUWDn0B,0.0,10.0,0.113,-7.507,1.0,0.347,122.947,4.0,0.0397,3TVXtAsR1Inumwj472S9r4,Drake,Chicago Freestyle (feat. Giveon)
0.0195,0.629,207627.0,0.696,1PS1QMdUqOal0ai3Gt7sDQ,0.0,1.0,0.0554,-5.572,0.0,0.348,93.034,4.0,0.623,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,Gold Digger
0.349,0.511,239836.0,0.566,285pBltuF7vW8TeWk8hdRR,0.0,6.0,0.34,-7.23,0.0,0.2,83.903,4.0,0.218,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,Lucid Dreams
0.853,0.794,342040.0,0.32,1DWZUa5Mzf2BwzpHtgbHPY,0.134,1.0,0.112,-12.92,0.0,0.173,174.088,4.0,0.241,4LLpKhyESsyAXpc4laK94U,Mac Miller,Good News
0.0852,0.897,145543.0,0.662,78QR3Wp35dqAhFEc2qAGjE,0.0,1.0,0.534,-6.903,0.0,0.292,112.511,4.0,0.389,5f7VJjfbwm532GiveGC0ZK,Lil Baby,Drip Too Hard (Lil Baby & Gunna)
